Name,THC
Warlock Reg.,
Motavation,Sehr hoch
Double Dutch,Hoch
Douce Nuit,20-30%
Cristal Limit,20%
Violeta Reg.,
Kali Dog,18%
Ganesh Reg.,20 - 23%
Brazil Amazonia,
CBD Divine Reg.,6-8%
Kiss Dragon,18%
Fog Dog Auto,16-26%
Chaze,19%
Kombucha Cream,20% - 28%
Gummibears Auto,Bis zu 30%
Grease Gun Auto,17% - 26%
Gopher Glue FAST,Sehr Hoch (25%+)
Grapes 'n' Cream FAST,20% - 28%
GMO Bomb FAST,Sehr Hoch (25%+)
Space Cookies,
Hippie Therapy CBD,9%
Dream Machine,
Total Paralysis,21%
"Here comes the Barb,""27,11%"""
GMO Auto,Hoch (16-24%)
Gelato 41 (Atlas),Sehr Hoch (25%+)
Somango XXL,16-21%
Thai Chi,16%
Honduras x Panama Reg.,14 - 20%
Some Sweet,
Californian Gold,18 - 22%
Legendary OG Punch,19%
Royal Domina,20%
Super Malawi Haze Reg.,23 - 28%
Sticky Fingers Auto,Hoch
Original Skunk #1 Reg.,14-16%
Sweet Harlem Diesel,
Lemon Tart,Hoch
Louis XIII OG,Hoch
Vision Caramello Auto,
Vision Jack Auto,
Vision Kush Auto,
Girl Scout Cookies (Nirvana Seeds),16-21%
Bubba Slush,20 - 25%
Shark CBD,
White Widow CBD (Pyramid Seeds),
Gorilla Glue Auto (Seedstockers),Hoch
CBD Medi Kush,Mittel
Ibiza Farmer's,21%
Cookies and Cream Auto,
Strawberry Cough (BC Bud Depot),25%
Lemon Banana Mints,22 - 26%
Glukies BX,30%
Auto Dosi,20 - 22%
Auto Cheese,16-19%
Amnesia Platinum,16 - 20 %
"Jean Guy CBD,""9, 51%"""
Mont Blanc Special Pack,28-29%
Triton Biscotto Lime,14-22%
Pineapple Poison,15-20%
Super Skunk Kush,19%
Sweet Russian,20%
Humboldt Pound Cake,25-30%
Blue Cheese (Expert Seeds),20%
Dogstar Dawg Auto,18 - 24 %
Crystal Gelato Auto,22 %
Do-Si-Dos (Big Head Seeds),20 - 30 %
"CBG Zerodue,""0,2 %"""
Bubba Kush (Seedsman),15-20%
Skywalka Ghost Kush,20 - 30%
Pineapple Auto,19%
Wedding Cake Auto (Lineage Genetics),20 +%
Zkittlez Auto (Lineage Genetics),24+%
Humboldt x Seedstockers Blue Moby Reg.,14 -22%
Wedding Crasher,21%
